n,predicted_prime_at,is_prime,is_prime_next,Phi_cent,Phi_choice,Spike_basic,RuptureSpike,Peak_ok,GateC,FinalSpike
10,11,False,True,0.994311255587160,0.994311255587160,True,True,True,True,True
12,13,False,True,0.995662781241529,0.995662781241529,True,True,True,True,True
16,17,False,True,0.995531180174690,0.995531180174690,True,True,True,True,True
18,19,False,True,0.995662781241529,0.995662781241529,True,True,True,True,True
22,23,False,True,0.994311255587160,0.994311255587160,True,True,True,True,True
28,29,False,True,0.994581414250881,0.994581414250881,True,True,True,True,True
30,31,False,True,0.995659251220836,0.995659251220836,True,True,True,True,True
36,37,False,True,0.995527546249238,0.995527546249238,True,True,True,True,True
40,41,False,True,0.995527546249238,0.995527546249238,True,True,True,True,True
42,43,False,True,0.995659251220836,0.995659251220836,True,True,True,True,True
46,47,False,True,0.993501218521527,0.993501218521527,True,True,True,True,True
52,53,False,True,0.995121951219512,0.995121951219512,True,True,True,True,True
58,59,False,True,0.994311255587160,0.994311255587160,True,True,True,True,True
60,61,False,True,0.995929995929996,0.995929995929996,True,True,True,True,True
66,67,False,True,0.995117982099268,0.995117982099268,True,True,True,True,True
70,71,False,True,0.995117982099268,0.995117982099268,True,True,True,True,True
72,73,False,True,0.996095656417765,0.996095656417765,True,True,True,True,True
78,79,False,True,0.995117982099268,0.995117982099268,True,True,True,True,True
82,83,False,True,0.992691839220463,0.992691839220463,True,True,True,True,True
88,89,False,True,0.995527546249238,0.995527546249238,True,True,True,True,True
96,97,False,True,0.995933306222041,0.995933306222041,True,True,True,True,True
100,101,False,True,0.995121951219512,0.995121951219512,True,True,True,True,True
102,103,False,True,0.995659251220836,0.995659251220836,True,True,True,True,True
106,107,False,True,0.993501218521527,0.993501218521527,True,True,True,True,True
108,109,False,True,0.996095656417765,0.996095656417765,True,True,True,True,True
112,113,False,True,0.995770982433312,0.995770982433312,True,True,True,True,True
120,121,False,False,0.995442708333333,0.995442708333333,True,True,True,False,False
126,127,False,True,0.995117982099268,0.995117982099268,True,True,True,True,True
130,131,False,True,0.995117982099268,0.995117982099268,True,True,True,True,True
136,137,False,True,0.994716521032310,0.994716521032310,True,True,True,True,True
138,139,False,True,0.995659251220836,0.995659251220836,True,True,True,True,True
142,143,False,False,0.993501218521527,0.993501218521527,True,True,True,False,False
148,149,False,True,0.994581414250881,0.994581414250881,True,True,True,True,True
150,151,False,True,0.995929995929996,0.995929995929996,True,True,True,True,True
156,157,False,True,0.995523906408952,0.995523906408952,True,True,True,True,True
162,163,False,True,0.995770982433312,0.995770982433312,True,True,True,True,True
166,167,False,True,0.993501218521527,0.993501218521527,True,True,True,True,True
168,169,False,False,0.995767540289761,0.995767540289761,True,True,True,False,False
